Brand,Produk,Kategori,Deskripsi
"Jacker,Sour Cream & Onion Flavor Potato Crisps Cans 100g,Snack,""Jacker Sour Cream & Onion Potato Crisps adalah keripik kentang dengan rasa creamy dan bawang. Dibuat dari kentang pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa asam lembut dan gurih yang seimbang."""
"Jacker,Tomato Flavor Potato Crisps Cans 100g,Snack,""Jacker Tomato Potato Crisps adalah keripik kentang dengan rasa tomat segar. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa asam manis yang ringan."""

"Zees,Sadwich Cracker Chocolate,Biskuit,""Zees Sandwich Cracker Chocolate adalah biskuit berlapis dengan krim cokelat tebal. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa cokelat manis yang lembut dan premium."""
"Zees,Sadwich Cracker Lemon,Biskuit,""Zees Sandwich Cracker Lemon adalah biskuit berlapis dengan krim lemon segar. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa asam manis yang menyegarkan."""
"Zees,Sadwich Cracker Cheese,Biskuit,""Zees Sandwich Cracker Cheese adalah biskuit berlapis dengan krim keju tebal. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa keju yang gurih dan lezat."""

"Zees,Original Cream Crackers,Biskuit,""Zees Original Cream Crackers adalah biskuit kraker dengan rasa krim klasik. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa gurih ringan yang sederhana."""
"Zees,Sugar Cream Cracker,Biskuit,""Zees Sugar Cream Cracker adalah biskuit kraker dengan taburan gula manis. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa manis yang ringan dan menyenangkan."""
"Zees,Cracker Sandwich Cheese,Biskuit,""Zees Cracker Sandwich Cheese adalah biskuit kraker dengan isian krim keju. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa gurih creamy yang lezat."""
"Zees,Cracker Sandwich Peanut Butter,Biskuit,""Zees Cracker Sandwich Peanut Butter adalah biskuit kraker dengan isian selai kacang. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa kacang yang gurih dan kaya."""

"Zees,Assorted Biscuit,Biskuit,""Zees Assorted Biscuit adalah biskuit dengan berbagai varian rasa dalam satu kemasan. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan kombinasi rasa yang beragam dan menyenangkan."""

"Zees,Choco Chips Cookie Hazelnut,Biskuit,""Zees Choco Chips Cookie Hazelnut adalah cookies dengan choco chips dan rasa hazelnut. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa cokelat dan kacang yang kaya."""
"Zees,Choco Chips Cookie Coklat,Biskuit,""Zees Choco Chips Cookie Coklat adalah cookies dengan potongan cokelat. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa cokelat manis yang lezat."""

"Zees,Chocolate Biscuit,Biskuit,""Zees Chocolate Biscuit adalah biskuit dengan rasa cokelat klasik. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa manis yang lembut."""
"Zees,Chocolate Sandwich Biscuit Chocolate,Biskuit,""Zees Chocolate Sandwich Biscuit Chocolate adalah biskuit cokelat dengan krim cokelat. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa cokelat yang kaya."""
"Zees,Chocolate Sandwich Biscuit Vanilla,Biskuit,""Zees Chocolate Sandwich Biscuit Vanilla adalah biskuit cokelat dengan krim vanila. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa manis lembut yang seimbang."""

"Zees,Butter Cookies,Biskuit & Cookies,""Zees Butter Cookies adalah kue kering dengan resep butter khas. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan aroma butter yang harum dan lezat."""

"Zees,Super Ring Cheese Cracker,Biskuit,""Zees Super Ring Cheese Cracker adalah kraker keju berbentuk segitiga yang dipanggang. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa keju gurih yang ringan."""
"Zees,Savory Crackers Original,Biskuit,""Zees Savory Crackers Original adalah kraker panggang dengan rasa original. Dibuat dari bahan pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa gurih sederhana yang klasik."""

"Fudo,Layer Cake Chocolate,Kue & Pastry,""Fudo Layer Cake Chocolate adalah kue berlapis dengan krim cokelat tebal. Dibuat dari bahan pilihan bertekstur lembut, setiap gigitannya menghadirkan rasa cokelat yang manis dan memanjakan."""
"Fudo,Layer Cake Banana,Kue & Pastry,""Fudo Layer Cake Banana adalah kue berlapis dengan krim pisang. Dibuat dari bahan pilihan bertekstur lembut, setiap gigitannya menghadirkan rasa manis buah yang lembut."""
"Fudo,Layer Cake Pandan,Kue & Pastry,""Fudo Layer Cake Pandan adalah kue berlapis dengan rasa pandan harum. Dibuat dari bahan pilihan bertekstur empuk, setiap gigitannya menghadirkan aroma pandan yang khas dan menenangkan."""
"Fudo,Layer Cake Strawberry,Kue & Pastry,""Fudo Layer Cake Strawberry adalah kue berlapis dengan krim stroberi. Dibuat dari bahan pilihan bertekstur lembut, setiap gigitannya menghadirkan rasa manis segar yang menyenangkan."""
"Fudo,Layer Cake Butter,Kue & Pastry,""Fudo Layer Cake Butter adalah kue berlapis dengan krim butter. Dibuat dari bahan pilihan bertekstur lembut, setiap gigitannya menghadirkan rasa gurih manis yang klasik."""

"Fudo,Swissroll Chocolate,Kue & Pastry,""Fudo Swissroll Chocolate adalah roll cake dengan isian cokelat. Dibuat dari bahan pilihan bertekstur lembut, setiap gigitannya menghadirkan rasa cokelat yang manis dan lembut."""
"Fudo,Swissroll Pandan,Kue & Pastry,""Fudo Swissroll Pandan adalah roll cake dengan rasa pandan. Dibuat dari bahan pilihan bertekstur empuk, setiap gigitannya menghadirkan aroma pandan yang harum."""
"Fudo,Swissroll Strawberry,Kue & Pastry,""Fudo Swissroll Strawberry adalah roll cake dengan isian stroberi. Dibuat dari bahan pilihan bertekstur lembut, setiap gigitannya menghadirkan rasa manis segar."""
"Fudo,Swissroll Tiramisu,Kue & Pastry,""Fudo Swissroll Tiramisu adalah roll cake dengan rasa tiramisu. Dibuat dari bahan pilihan bertekstur lembut, setiap gigitannya menghadirkan rasa kopi creamy yang elegan."""
"Fudo,Swissroll Butter,Kue & Pastry,""Fudo Swissroll Butter adalah roll cake dengan rasa butter. Dibuat dari bahan pilihan bertekstur empuk, setiap gigitannya menghadirkan rasa gurih manis yang lembut."""
"Win2,Baked Potato Crisp BBQ,Snack,""Win2 Baked Potato Crisp BBQ adalah camilan keripik kentang panggang dengan sensasi BBQ smoky yang gurih. Dibuat dari kentang pilihan bertekstur renyah ringan, setiap gigitannya menghadirkan rasa manis-gurih khas saus BBQ yang smoky dan menggugah selera serta memberikan kepuasan ngemil tanpa terasa berat."""
"Win2,Baked Potato Crisp Vegetable,Snack,""Win2 Baked Potato Crisp Vegetable adalah camilan keripik kentang panggang dengan perpaduan rasa sayuran segar yang ringan. Dibuat dari kentang pilihan bertekstur renyah tipis, setiap gigitannya menghadirkan rasa gurih alami dengan sentuhan sayuran yang lembut dan menyegarkan serta cocok untuk camilan sehari-hari."""
"Win2,Baked Potato Crisp Sour Cream,Snack,""Win2 Baked Potato Crisp Sour Cream adalah camilan keripik kentang panggang dengan sensasi creamy asam yang lembut. Dibuat dari kentang pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa creamy khas sour cream yang ringan dan menyegarkan serta memberikan sensasi nagih di setiap gigitan."""
"Win2,Baked Potato Crisp Himalayan Salt,Snack,""Win2 Baked Potato Crisp Himalayan Salt adalah camilan keripik kentang panggang dengan rasa asin alami yang elegan. Dibuat dari kentang pilihan bertekstur crispy ringan, setiap gigitannya menghadirkan rasa gurih bersih dari garam Himalaya yang halus dan seimbang serta memberikan pengalaman ngemil yang simpel namun premium."""
"Win2,Baked Potato Crisp Tomato,Snack,""Win2 Baked Potato Crisp Tomato adalah camilan keripik kentang panggang dengan sensasi tomat segar yang sedikit asam-manis. Dibuat dari kentang pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa tomat yang ringan dan menyegarkan serta memberikan sensasi unik yang berbeda dari keripik biasa."""
"Win2,Baked Potato Crisp Seafood,Snack,""Win2 Baked Potato Crisp Seafood adalah camilan keripik kentang panggang dengan cita rasa seafood yang gurih. Dibuat dari kentang pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa laut yang khas dengan aroma umami yang kuat dan memanjakan lidah."""
"Win2,Baked Sweet Potato Crisp,Snack,""Win2 Baked Sweet Potato Crisp adalah camilan keripik ubi panggang dengan rasa manis alami. Dibuat dari ubi pilihan bertekstur renyah ringan, setiap gigitannya menghadirkan rasa manis lembut yang alami dan memberikan energi sekaligus kenikmatan sehat."""
"Win2,Baked Potato Crisp Coffee,Snack,""Win2 Baked Potato Crisp Coffee adalah camilan keripik kentang panggang dengan sentuhan rasa kopi yang unik. Dibuat dari kentang pilihan bertekstur renyah, setiap gigitannya menghadirkan perpaduan gurih dengan aroma kopi yang khas dan memberikan pengalaman rasa yang berbeda dan menarik."""
"Win2,Baked Potato Crisp Sweet Corn,Snack,""Win2 Baked Potato Crisp Sweet Corn adalah camilan keripik kentang panggang dengan rasa jagung manis yang lembut. Dibuat dari kentang pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa manis gurih jagung yang ringan dan menyenangkan serta cocok untuk semua usia."""
"Win2,Cheese Bread,Snack,""Win2 Cheese Bread adalah camilan roti panggang dengan rasa keju yang gurih. Dibuat dari tepung pilihan bertekstur renyah di luar dan ringan di dalam, setiap gigitannya menghadirkan rasa keju yang creamy dan lezat serta cocok sebagai teman santai."""
"Win2,Garlic Bread,Snack,""Win2 Garlic Bread adalah camilan roti panggang dengan aroma bawang putih yang khas. Dibuat dari roti pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa gurih bawang putih yang aromatik dan menggoda serta memberikan sensasi klasik yang disukai banyak orang."""
"Win2,KOLA KIDS WITH CHEESE,Snack,""Win2 KOLA KIDS WITH CHEESE adalah camilan biskuit anak dengan isian krim keju yang lembut. Dibuat dari bahan pilihan bertekstur renyah di luar dan creamy di dalam, setiap gigitannya menghadirkan rasa keju yang gurih dan menyenangkan serta cocok untuk camilan anak."""
"Win2,KOLA KIDS WITH CHOCOLATE,Snack,""Win2 KOLA KIDS WITH CHOCOLATE adalah camilan biskuit anak dengan isian cokelat manis. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa cokelat yang manis dan lembut serta memberikan keseruan di setiap gigitan."""
"Win2,KOLA KIDS WITH MILK,Snack,""Win2 KOLA KIDS WITH MILK adalah camilan biskuit anak dengan krim susu yang lembut. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa susu yang creamy dan ringan serta cocok untuk camilan harian."""
"Win2,KOLA KIDS WITH STRAWBERRY,Snack,""Win2 KOLA KIDS WITH STRAWBERRY adalah camilan biskuit anak dengan isian stroberi manis. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa stroberi yang segar dan manis serta memberikan sensasi fruity yang menyenangkan."""

"Ibu Mie,White Curry Mee,Instant Noodle,""Ibu Mie White Curry Mee adalah mie instan kuah dengan rasa kari putih khas Asia yang creamy. Dibuat dari mie berkualitas bertekstur kenyal, setiap gigitannya menghadirkan kuah kari gurih dengan aroma rempah yang lembut dan menghangatkan."""
"Ibu Mie,Harmee,Instant Noodle,""Ibu Mie Harmee adalah mie instan kuah udang dengan cita rasa seafood yang kuat. Dibuat dari mie pilihan bertekstur kenyal, setiap gigitannya menghadirkan rasa udang gurih dengan aroma laut yang khas dan menggugah selera."""
"Ibu Mie,VegeMee,Instant Noodle,""Ibu Mie VegeMee adalah mie instan sayur dengan rasa ringan dan alami. Dibuat dari mie berkualitas bertekstur lembut, setiap gigitannya menghadirkan rasa sayuran segar yang gurih dan menyehatkan."""
"Ibu Mie,Sambal Udang Mee,Instant Noodle,""Ibu Mie Sambal Udang Mee adalah mie instan pedas dengan rasa udang sambal yang menggoda. Dibuat dari mie kenyal, setiap gigitannya menghadirkan rasa pedas gurih dengan sentuhan seafood yang kaya."""
"Ibu Mie,Curry Kapitan Flavor,Instant Noodle,""Ibu Mie Curry Kapitan adalah mie instan dengan rasa kari khas Malaysia yang kaya rempah. Dibuat dari mie berkualitas bertekstur kenyal, setiap gigitannya menghadirkan rasa kari pekat yang aromatik dan memanjakan."""
"Telly,Dry Base Instant Noodle,Instant Noodle,""Telly Dry Base Instant Noodle adalah mie instan tanpa kuah dengan bumbu gurih praktis. Dibuat dari mie pilihan bertekstur kenyal, setiap gigitannya menghadirkan rasa gurih sederhana yang fleksibel untuk berbagai kreasi."""
"Telly,Vegetarian Instant Noodle,Instant Noodle,""Telly Vegetarian Instant Noodle adalah mie instan berbasis sayuran tanpa bahan hewani. Dibuat dari bahan pilihan bertekstur kenyal, setiap gigitannya menghadirkan rasa ringan yang sehat dan seimbang."""
"Telly,Hot Pepper Instant Noodle,Instant Noodle,""Telly Hot Pepper Instant Noodle adalah mie instan pedas dengan sensasi lada yang kuat. Dibuat dari mie berkualitas bertekstur kenyal, setiap gigitannya menghadirkan rasa pedas hangat yang intens dan menggugah."""

"A-TASTE,Good Vita Natural Oat Cracker,Biskuit,""A-TASTE Good Vita Natural Oat Cracker adalah biskuit oat sehat tinggi serat dengan rasa alami. Dibuat dari gandum pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa gurih ringan yang menyehatkan dan mengenyangkan."""
"A-TASTE,Good Vita Natural Oat Cracker Black Sesame,Biskuit,""A-TASTE Good Vita Natural Oat Cracker Black Sesame adalah biskuit oat dengan wijen hitam. Dibuat dari bahan pilihan bertekstur crunchy, setiap gigitannya menghadirkan aroma wijen yang khas dan gurih bernutrisi."""
"A-TASTE,Good Vita Natural Oat Cracker No Sugar,Biskuit,""A-TASTE Good Vita Natural Oat Cracker No Sugar adalah biskuit oat tanpa tambahan gula. Dibuat dari bahan alami bertekstur renyah, setiap gigitannya menghadirkan rasa alami yang ringan dan cocok untuk gaya hidup sehat."""
"A-TASTE,Sesame Pastry,Kue & Pastry,""A-TASTE Sesame Pastry adalah kue pastry dengan taburan wijen yang gurih. Dibuat dari bahan pilihan bertekstur flaky, setiap gigitannya menghadirkan aroma wijen yang harum dan lezat."""
"A-TASTE,Almond Pastry,Kue & Pastry,""A-TASTE Almond Pastry adalah pastry renyah dengan topping almond. Dibuat dari bahan pilihan bertekstur berlapis, setiap gigitannya menghadirkan rasa kacang yang gurih dan kaya."""
"A-TASTE,Potato Stick Original,Biskuit,""A-TASTE Potato Stick Original adalah camilan stik kentang dengan rasa gurih klasik. Dibuat dari kentang pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa simpel yang nagih."""
"A-TASTE,Potato Stick Seaweed,Biskuit,""A-TASTE Potato Stick Seaweed adalah camilan stik kentang dengan rasa rumput laut. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa umami laut yang khas."""
"A-TASTE,Soda Health Daily Original,Biskuit,""A-TASTE Soda Health Daily Original adalah biskuit soda ringan untuk konsumsi harian. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa gurih sederhana yang mudah dinikmati."""
"A-TASTE,Soda Health Daily Seaweed,Biskuit,""A-TASTE Soda Health Daily Seaweed adalah biskuit soda dengan rasa rumput laut. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa gurih laut yang ringan."""
"A-TASTE,Potato Cracker Tomato,Biskuit,""A-TASTE Potato Cracker Tomato adalah biskuit kentang dengan rasa tomat segar. Dibuat dari bahan pilihan bertekstur renyah, setiap gigitannya menghadirkan rasa asam manis yang menyegarkan."""
"A-TASTE,Potato Cracker Original,Biskuit,""A-TASTE Potato Cracker Original adalah biskuit kentang dengan rasa gurih klasik. Dibuat dari kentang pilihan bertekstur crispy, setiap gigitannya menghadirkan rasa ringan yang nagih."""
"A-TASTE,Multi-Grain High Fiber,Biskuit,""A-TASTE Multi-Grain High Fiber adalah biskuit multigrain tinggi serat. Dibuat dari berbagai biji-bijian bertekstur renyah, setiap gigitannya menghadirkan rasa alami yang sehat dan mengenyangkan."""
"A-TASTE,Multi-Grain Sea Salt Flavor,Biskuit,""A-TASTE Multi-Grain Sea Salt adalah biskuit multigrain dengan garam laut. Dibuat dari bahan pilihan bertekstur crunchy, setiap gigitannya menghadirkan rasa gurih bersih yang seimbang."""
"A-TASTE,Multi-Grain Chia Seed,Biskuit,""A-TASTE Multi-Grain Chia Seed adalah biskuit multigrain dengan chia seed. Dibuat dari bahan bernutrisi bertekstur renyah, setiap gigitannya menghadirkan sensasi biji chia yang unik dan sehat."""
